title,stars,reviews,price,price_tier,category_name,engagement,KU Status,Bestseller,Editors Pick,Goodreads Choice
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",4.8,0,9.99,$5-$10,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"From Strength to Strength: Finding Success, Happiness, and Deep Purpose in the Second Half of Life",4.4,0,16.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
Good Inside: A Guide to Becoming the Parent You Want to Be,4.8,0,16.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Everything I Know About Love: A Memoir,4.2,0,9.95,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,No,Yes,No
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,4.7,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Glass Castle: A Memoir,4.6,0,13.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
Expecting Better: Why the Conventional Pregnancy Wisdom Is Wrong--and What You Really Need to Know (The ParentData Series Book 1),4.6,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,Yes,No,No
Never Enough: When Achievement Culture Becomes Toxic-and What We Can Do About It,4.6,0,15.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
Unmasking Autism: Discovering the New Faces of Neurodiversity,4.7,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,Yes,No,No
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Kindle Unlimited,No,Yes,No
Moms on Call | Basic Baby Care 0-6 Months | Parenting Book 1 of 3 (Moms On Call Parenting Books),4.7,0,24.99,Over $15,Parenting & Relationships,No Reviews,Paid,No,No,No
A Little Pinprick (Rainey Paxton Series Book 1),4.6,0,5.99,$5-$10,Parenting & Relationships,No Reviews,Kindle Unlimited,Yes,No,No
"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool (The ParentData Series Book 2)",4.7,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
The Daddy Diaries: The Year I Grew Up,4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
"The Cruise: The brand new feel good, funny read guaranteed to make you smile!",4.2,0,2.99,Under $5,Parenting & Relationships,No Reviews,Paid,No,No,No
You Could Make This Place Beautiful: A Memoir,4.5,0,14.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,Yes,No
The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,4.7,0,12.99,$10-$15,Parenting & Relationships,No Reviews,Paid,No,No,No
